min post release, degrees from east, mph
27.405300, 314.780133, 1.707945
27.488600, 314.131022, 1.734964
27.571900, 314.243835, 1.575088
27.655200, 316.192897, 2.534375
27.738500, 311.786537, 3.609136
27.821800, 353.339243, 4.081659
27.905100, 343.090899, 4.183476
27.988400, 344.265189, 4.313047
28.071700, 331.451849, 4.258420
28.155000, 312.824245, 3.939360
28.238300, 314.333281, 3.391511
28.321600, 310.401634, 3.013343
28.404900, 317.693083, 3.399993
28.488200, 324.632337, 3.108838
28.571500, 330.227548, 2.471175
28.654800, 334.966573, 1.996656
28.738100, 348.265440, 2.188587
28.821400, 354.084713, 2.560250
28.904700, 20.445223, 2.013595
28.988000, 350.017654, 2.531836
29.071300, 346.981539, 2.980369
29.154600, 343.413702, 2.853589
29.237900, 340.279535, 2.799073
29.321200, 316.727693, 2.604261
29.404500, 322.439980, 2.459070
29.487800, 312.397583, 2.768546
29.571100, 301.585192, 3.134855
29.654400, 295.699702, 2.823988
29.737700, 293.572992, 2.599068
29.821000, 297.212143, 2.457320
29.904300, 294.666261, 2.418990
29.987600, 304.256053, 2.349152
30.070900, 307.722824, 2.084731
30.154200, 307.385154, 1.718997
30.237500, 298.106946, 1.582171
30.320800, 313.797275, 1.678628
30.404100, 324.040045, 1.871722
30.487400, 312.507789, 1.792503
30.570700, 310.333020, 1.885535
30.654000, 317.043043, 2.217528
30.737300, 327.680081, 2.207652
30.820600, 338.043760, 1.981745
30.903900, 346.113229, 1.934432
30.987200, 326.075467, 2.392452
31.070500, 291.679172, 3.413636
31.153800, 283.411775, 3.728467
31.237100, 280.333906, 3.158650
31.320400, 282.957564, 2.494750
31.403700, 289.829373, 2.258389
31.487000, 286.479146, 2.038128
31.570300, 280.075261, 1.757709
31.653600, 280.181818, 1.476343
31.736900, 280.181818, 1.323097
31.820200, 280.101900, 1.434824
31.903500, 274.086680, 1.520657
31.986800, 268.267833, 2.410181
32.070100, 278.012246, 2.473534
32.153400, 283.763562, 2.192114
32.236700, 285.299367, 1.957917
32.320000, 287.111959, 2.159452
32.403300, 288.604056, 2.058744
32.486600, 293.557188, 1.919477
32.569900, 301.441392, 1.888828
32.653200, 304.785707, 2.010567
32.736500, 316.647777, 1.512060
32.819800, 315.113839, 1.432879
32.903100, 318.000000, 1.237791
32.986400, 318.000000, 0.996786
33.069700, 318.000000, 0.958593
33.153000, 324.655300, 1.232031
33.236300, 331.414601, 1.501765
33.319600, 337.475198, 1.451369
33.402900, 348.898350, 1.341642
33.486200, 349.124424, 1.155286
33.569500, 348.489459, 1.190968
33.652800, 344.619583, 1.183055
33.736100, 343.266875, 1.178329
33.819400, 342.386158, 1.613628
33.902700, 330.472812, 2.638423
33.986000, 331.213489, 2.694971
34.069300, 322.291204, 2.039380
34.152600, 320.163055, 1.741174
34.235900, 311.500550, 1.735835
34.319200, 313.722549, 1.680868
34.402500, 311.504942, 1.815177
34.485800, 303.458305, 1.699080
34.569100, 304.709110, 1.610912
34.652400, 323.978036, 1.568096
34.735700, 328.468018, 1.429547
34.819000, 333.020499, 1.330692
34.902300, 331.873087, 1.423762
34.985600, 299.747510, 1.127099
35.068900, 296.538782, 1.065521
35.152200, 318.195972, 1.257032
35.235500, 322.363636, 0.987090
35.318800, 312.192951, 1.397107
35.402100, 253.547006, 1.793643
35.485400, 246.429815, 1.819977
35.568700, 247.308278, 1.600041
35.652000, 249.428686, 1.539096
35.735300, 249.636364, 1.386195
35.818600, 249.636364, 1.538984
35.901900, 250.085975, 1.966454
35.985200, 279.766715, 2.613669
36.068500, 285.205704, 2.487834
36.151800, 270.676048, 3.018376
36.235100, 278.707039, 3.786626
36.318400, 283.288834, 3.403469
36.401700, 287.435846, 3.344224
36.485000, 290.123553, 3.132493
36.568300, 283.400030, 2.849295
36.651600, 277.306698, 2.615126
36.734900, 285.389806, 2.307666
36.818200, 295.612014, 2.301699
36.901500, 287.044929, 2.176785
36.984800, 279.251661, 2.126449
37.068100, 280.028907, 1.870599
37.151400, 284.561609, 1.589790
37.234700, 292.328100, 1.127214
37.318000, 292.530523, 1.040308
37.401300, 291.768376, 1.394761
37.484600, 288.345378, 2.126217
37.567900, 269.765496, 2.837807
37.651200, 272.364598, 2.803612
37.734500, 275.766831, 2.666154
37.817800, 274.413935, 2.764862
37.901100, 277.764926, 2.525179
37.984400, 301.942358, 2.232508
38.067700, 303.454545, 1.686693
38.151000, 303.454545, 1.354228
38.234300, 301.745474, 1.429080
38.317600, 286.271205, 1.437611
38.400900, 281.216556, 1.210858
38.484200, 280.909091, 1.132760
38.567500, 280.909091, 0.978560
38.650800, 280.909091, 0.960324
38.734100, 280.909091, 0.982741
38.817400, 280.722269, 1.217833
38.900700, 279.659185, 1.253847
38.984000, 275.340044, 1.167315
39.067300, 268.545624, 1.026254
39.150600, 268.545455, 0.950973
39.233900, 268.545455, 0.892549
39.317200, 278.535006, 1.492293
39.400500, 297.738763, 1.835732
39.483800, 313.474784, 2.135222
39.567100, 296.857265, 1.847643
39.650400, 298.612970, 1.693224
39.733700, 300.545455, 1.485422
39.817000, 299.875534, 1.467885
39.900300, 301.846656, 1.349990
39.983600, 305.623468, 1.163958
40.066900, 305.635176, 0.987890
40.150200, 305.635176, 0.929471
40.233500, 305.636364, 0.859293
40.316800, 305.636364, 0.936243
40.400100, 305.642981, 1.017386
40.483400, 310.944084, 1.310278
40.566700, 300.256298, 2.148727
40.650000, 291.626771, 2.526561
40.733300, 288.568899, 1.910141
40.816600, 296.195237, 1.606358
40.899900, 299.855851, 1.478927
40.983200, 299.904550, 1.324769
41.066500, 299.818182, 1.222093
41.149800, 299.897933, 1.107231
41.233100, 299.964788, 1.253851
41.316400, 299.858566, 0.990878
41.399700, 299.921519, 0.899006
41.483000, 300.175200, 0.870651
41.566300, 308.595162, 1.086780
41.649600, 345.486350, 1.189408
41.732900, 9.690146, 1.298371
41.816200, 11.090909, 1.181826
41.899500, 11.090909, 1.171977
41.982800, 11.090909, 1.199358
42.066100, 11.090909, 1.068457
42.149400, 11.090909, 1.057020
42.232700, 0.910206, 1.038966
42.316000, 309.110504, 1.108994
42.399300, 299.594201, 1.454556
42.482600, 263.615666, 1.823101
42.565900, 277.475471, 1.633444
42.649200, 323.942843, 1.877889
42.732500, 339.411303, 2.383953
42.815800, 330.671832, 2.343975
42.899100, 314.331664, 2.146758
42.982400, 319.996238, 2.330631
43.065700, 325.947959, 2.439919
43.149000, 328.973065, 2.341878
43.232300, 322.713311, 2.005973
43.315600, 321.636364, 1.899263
43.398900, 323.232628, 1.616692
43.482200, 323.818182, 1.484739
43.565500, 324.003477, 1.466177
43.648800, 324.545455, 1.350421
43.732100, 324.545455, 1.251195
43.815400, 324.545455, 1.045994
43.898700, 324.545455, 0.872648
43.982000, 324.545455, 0.780619
44.065300, 324.545455, 0.776730
44.148600, 329.758486, 1.000915
44.231900, 340.852162, 1.180340
44.315200, 341.042465, 1.243820
44.398500, 340.545455, 1.130808
44.481800, 340.545455, 0.815721
44.565100, 340.539346, 0.933486
44.648400, 338.880320, 1.152797
44.731700, 338.363636, 1.140819
44.815000, 338.363636, 1.138706
44.898300, 338.363636, 1.195803
44.981600, 338.171053, 1.475476
45.064900, 350.130789, 2.154087
45.148200, 327.407525, 1.813178
45.231500, 301.297774, 1.680863
45.314800, 312.329337, 1.807417
45.398100, 351.051550, 1.920308
45.481400, 348.092733, 1.934916
45.564700, 353.763411, 1.843793
45.648000, 353.554599, 2.153970
45.731300, 346.256279, 2.037133
45.814600, 345.633366, 2.049054
45.897900, 346.874234, 1.960333
45.981200, 359.139433, 2.014532
46.064500, 5.452377, 2.016729
46.147800, 7.635269, 1.881530
46.231100, 5.382289, 1.751327
46.314400, 12.425653, 1.663601
46.397700, 12.545455, 1.376797
46.481000, 18.043157, 1.296365
46.564300, 32.920629, 1.225729
46.647600, 32.473687, 1.439195
46.730900, 35.309575, 1.615983
46.814200, 36.295840, 1.489468
46.897500, 29.265580, 1.639364
46.980800, 22.215736, 1.767176
47.064100, 23.475586, 1.652092
47.147400, 18.877652, 1.630228
47.230700, 17.908538, 1.444600
47.314000, 17.636364, 1.330850
47.397300, 28.404549, 1.621614
47.480600, 34.948469, 2.162060
47.563900, 20.837141, 1.787382
47.647200, 20.701211, 1.643184
47.730500, 27.298951, 1.963100
47.813800, 30.216334, 1.663807
47.897100, 38.721440, 1.516869
47.980400, 25.245702, 1.357531
48.063700, 31.918309, 1.363430
48.147000, 7.020813, 2.809521
48.230300, 331.120976, 3.378945
48.313600, 340.790264, 2.345258
48.396900, 351.961853, 1.857315
48.480200, 316.994628, 1.534431
48.563500, 315.090909, 1.395007
48.646800, 315.142832, 1.262622
48.730100, 326.949312, 1.275385
48.813400, 9.570954, 1.297728
48.896700, 25.636364, 1.424650
48.980000, 26.333848, 1.990577
49.063300, 30.456286, 1.983007
49.146600, 38.234334, 1.963920
49.229900, 46.816239, 1.851005
49.313200, 43.894253, 2.334178
49.396500, 40.981626, 2.709918
49.479800, 32.651881, 2.669872
49.563100, 40.377908, 2.379464
49.646400, 49.463490, 2.140561
49.729700, 54.750660, 1.876242
49.813000, 61.470373, 1.784791
49.896300, 49.845737, 1.709813
49.979600, 45.942140, 2.082137
50.062900, 51.023215, 2.343397
50.146200, 51.571831, 2.160243
50.229500, 74.269352, 1.719991
50.312800, 98.322425, 1.824204
50.396100, 82.607933, 1.831672
50.479400, 79.988801, 1.783639
50.562700, 96.057788, 1.619386
50.646000, 94.187992, 2.237576
50.729300, 80.168854, 2.086406
50.812600, 35.915368, 1.908057
50.895900, 36.957920, 2.154365
50.979200, 42.903378, 2.134253
51.062500, 41.488128, 1.743716
51.145800, 27.510291, 1.230480
51.229100, 27.546347, 1.338190
51.312400, 35.334016, 1.272710
51.395700, 65.871544, 1.440549
51.479000, 72.980723, 1.336989
51.562300, 130.897447, 1.888729
51.645600, 283.445972, 2.061080
51.728900, 286.245553, 1.860150
51.812200, 268.951563, 2.147399
51.895500, 294.482494, 2.457742
51.978800, 274.183164, 2.171760
52.062100, 277.084373, 2.203974
